Author1,Author2,Shared Citations
John C. Sommerer,Edward Ott,62
John C. Sommerer,Celso Grebogi,62
Edward Ott,Celso Grebogi,62
K. Obermayer,G. G. Blasdel,76
K. Obermayer,K. Schulten,76
G. G. Blasdel,K. Schulten,76
F. Chevy,S. Stringari,12
Ireneusz Linert,Brygida Mielewska,6
Ireneusz Linert,George C. King,6
Ireneusz Linert,Mariusz Zubek,6
Brygida Mielewska,George C. King,6
Brygida Mielewska,Mariusz Zubek,6
George C. King,Mariusz Zubek,6
Jinwu Ye,CunLin Zhang,8
Tomoya Akatsuka,Masao Takamoto,18
Tomoya Akatsuka,Hidetoshi Katori,18
Masao Takamoto,Hidetoshi Katori,18
R. S. Gurjar,K. K. Sharma,1
Yi Yin,H. Wang,5
Yi Yin,M. Mariantoni,5
Yi Yin,Radoslaw C. Bialczak,5
Yi Yin,R. Barends,5
Yi Yin,Y. Chen,5
Yi Yin,M. Lenander,5
Yi Yin,Erik Lucero,5
Yi Yin,M. Neeley,5
Yi Yin,A. D. O'Connell,5
Yi Yin,D. Sank,5
Yi Yin,M. Weides,5
Yi Yin,J. Wenner,5
Yi Yin,T. Yamamoto,5
Yi Yin,J. Zhao,5
Yi Yin,A. N. Cleland,5
Yi Yin,John M. Martinis,5
H. Wang,M. Mariantoni,5
H. Wang,Radoslaw C. Bialczak,5
H. Wang,R. Barends,5
H. Wang,Y. Chen,5
H. Wang,M. Lenander,5
H. Wang,Erik Lucero,5
H. Wang,M. Neeley,5
H. Wang,A. D. O'Connell,5
H. Wang,D. Sank,5
H. Wang,M. Weides,5
H. Wang,J. Wenner,5
H. Wang,T. Yamamoto,5
H. Wang,J. Zhao,5
H. Wang,A. N. Cleland,5
H. Wang,John M. Martinis,5
M. Mariantoni,Radoslaw C. Bialczak,5
M. Mariantoni,R. Barends,5
M. Mariantoni,Y. Chen,5
M. Mariantoni,M. Lenander,5
M. Mariantoni,Erik Lucero,5
M. Mariantoni,M. Neeley,5
M. Mariantoni,A. D. O'Connell,5
M. Mariantoni,D. Sank,5
M. Mariantoni,M. Weides,5
M. Mariantoni,J. Wenner,5
M. Mariantoni,T. Yamamoto,5
M. Mariantoni,J. Zhao,5
M. Mariantoni,A. N. Cleland,5
M. Mariantoni,John M. Martinis,5
Radoslaw C. Bialczak,R. Barends,5
Radoslaw C. Bialczak,Y. Chen,5
Radoslaw C. Bialczak,M. Lenander,5
Radoslaw C. Bialczak,Erik Lucero,5
Radoslaw C. Bialczak,M. Neeley,5
Radoslaw C. Bialczak,A. D. O'Connell,5
Radoslaw C. Bialczak,D. Sank,5
Radoslaw C. Bialczak,M. Weides,5
Radoslaw C. Bialczak,J. Wenner,5
Radoslaw C. Bialczak,T. Yamamoto,5
Radoslaw C. Bialczak,J. Zhao,5
Radoslaw C. Bialczak,A. N. Cleland,5
Radoslaw C. Bialczak,John M. Martinis,5
R. Barends,Y. Chen,5
R. Barends,M. Lenander,5
R. Barends,Erik Lucero,5
R. Barends,M. Neeley,5
R. Barends,A. D. O'Connell,5
R. Barends,D. Sank,5
R. Barends,M. Weides,5
R. Barends,J. Wenner,5
R. Barends,T. Yamamoto,5
R. Barends,J. Zhao,5
R. Barends,A. N. Cleland,5
R. Barends,John M. Martinis,5
Y. Chen,M. Lenander,5
Y. Chen,Erik Lucero,5
Y. Chen,M. Neeley,5
Y. Chen,A. D. O'Connell,5
Y. Chen,D. Sank,5
Y. Chen,M. Weides,5
Y. Chen,J. Wenner,5
Y. Chen,T. Yamamoto,5
Y. Chen,J. Zhao,5
Y. Chen,A. N. Cleland,5
Y. Chen,John M. Martinis,5
M. Lenander,Erik Lucero,5
M. Lenander,M. Neeley,5
M. Lenander,A. D. O'Connell,5
M. Lenander,D. Sank,5
M. Lenander,M. Weides,5
M. Lenander,J. Wenner,5
M. Lenander,T. Yamamoto,5
M. Lenander,J. Zhao,5
M. Lenander,A. N. Cleland,5
M. Lenander,John M. Martinis,5
Erik Lucero,M. Neeley,5
Erik Lucero,A. D. O'Connell,5
Erik Lucero,D. Sank,5
Erik Lucero,M. Weides,5
Erik Lucero,J. Wenner,5
Erik Lucero,T. Yamamoto,5
Erik Lucero,J. Zhao,5
Erik Lucero,A. N. Cleland,5
Erik Lucero,John M. Martinis,5
M. Neeley,A. D. O'Connell,5
M. Neeley,D. Sank,5
M. Neeley,M. Weides,5
M. Neeley,J. Wenner,5
M. Neeley,T. Yamamoto,5
M. Neeley,J. Zhao,5
M. Neeley,A. N. Cleland,5
M. Neeley,John M. Martinis,5
A. D. O'Connell,D. Sank,5
A. D. O'Connell,M. Weides,5
A. D. O'Connell,J. Wenner,5
A. D. O'Connell,T. Yamamoto,5
A. D. O'Connell,J. Zhao,5
A. D. O'Connell,A. N. Cleland,5
A. D. O'Connell,John M. Martinis,5
D. Sank,M. Weides,5
D. Sank,J. Wenner,5
D. Sank,T. Yamamoto,5
D. Sank,J. Zhao,5
D. Sank,A. N. Cleland,5
D. Sank,John M. Martinis,5
M. Weides,J. Wenner,5
M. Weides,T. Yamamoto,5
M. Weides,J. Zhao,5
M. Weides,A. N. Cleland,5
M. Weides,John M. Martinis,5
J. Wenner,T. Yamamoto,5
J. Wenner,J. Zhao,5
J. Wenner,A. N. Cleland,5
J. Wenner,John M. Martinis,5
T. Yamamoto,J. Zhao,5
T. Yamamoto,A. N. Cleland,5
T. Yamamoto,John M. Martinis,5
J. Zhao,A. N. Cleland,5
J. Zhao,John M. Martinis,5
A. N. Cleland,John M. Martinis,5
S. Reinecke,G. M. Kremer,26
Peter van Loock,Kae Nemoto,1
Peter van Loock,William J. Munro,1
Peter van Loock,Philippe Raynal,1
Peter van Loock,Norbert Lütkenhaus,1
Kae Nemoto,William J. Munro,1
Kae Nemoto,Philippe Raynal,1
Kae Nemoto,Norbert Lütkenhaus,1
William J. Munro,Philippe Raynal,1
William J. Munro,Norbert Lütkenhaus,1
Philippe Raynal,Norbert Lütkenhaus,1
Mark J. Ablowitz,Christopher W. Curtis,2
Mark J. Ablowitz,Yi Zhu,2
Christopher W. Curtis,Yi Zhu,2
Kang Wu,R. Mark Bradley,2
B. C. Jacobs,T. B. Pittman,14
B. C. Jacobs,J. D. Franson,14
T. B. Pittman,J. D. Franson,14
S. Miyabe,D. J. Haxton,4
S. Miyabe,K. V. Lawler,4
S. Miyabe,A. E. Orel,4
S. Miyabe,C. W. McCurdy,4
S. Miyabe,T. N. Rescigno,4
D. J. Haxton,K. V. Lawler,4
D. J. Haxton,A. E. Orel,4
D. J. Haxton,C. W. McCurdy,4
D. J. Haxton,T. N. Rescigno,4
K. V. Lawler,A. E. Orel,4
K. V. Lawler,C. W. McCurdy,4
K. V. Lawler,T. N. Rescigno,4
A. E. Orel,C. W. McCurdy,4
A. E. Orel,T. N. Rescigno,4
C. W. McCurdy,T. N. Rescigno,4
J. J. Dugne,J. Proriol,4
D. Gonzales,B. Cavness,1
D. Gonzales,S. Williams,1
B. Cavness,S. Williams,1
Gustavo A. Arteca,Francisco M. Fernández,4
Gustavo A. Arteca,Eduardo A. Castro,4
Francisco M. Fernández,Eduardo A. Castro,4
D. M. Lucas,R. B. Warrington,7
D. M. Lucas,D. N. Stacey,7
D. M. Lucas,C. D. Thompson,7
R. B. Warrington,D. N. Stacey,7
R. B. Warrington,C. D. Thompson,7
D. N. Stacey,C. D. Thompson,7
Soheil Baharian,Gordon Baym,6
N. Skribanowitz,M. J. Kelly,27
N. Skribanowitz,M. S. Feld,27
M. J. Kelly,M. S. Feld,27
S. Zaleski,P. Tabeling,10
S. Zaleski,P. Lallemand,10
P. Tabeling,P. Lallemand,10
Jun Yan,Yi-Zhi Qu,29
Jun Yan,Lan Voky,29
Jun Yan,Jia-Ming Li,29
Yi-Zhi Qu,Lan Voky,29
Yi-Zhi Qu,Jia-Ming Li,29
Lan Voky,Jia-Ming Li,29
Jin-Hui Wu,Cui-Li Cui,9
Jin-Hui Wu,Nuo Ba,9
Jin-Hui Wu,Qi-Rong Ma,9
Jin-Hui Wu,Jin-Yue Gao,9
Cui-Li Cui,Nuo Ba,9
Cui-Li Cui,Qi-Rong Ma,9
Cui-Li Cui,Jin-Yue Gao,9
Nuo Ba,Qi-Rong Ma,9
Nuo Ba,Jin-Yue Gao,9
Qi-Rong Ma,Jin-Yue Gao,9
A. Eschmann,C. W. Gardiner,5
X. Z. Zhang,Z. Song,6
E. Ciaramella,M. Tamburrini,410
E. Ciaramella,E. Santamato,410
M. Tamburrini,E. Santamato,410
M. Iskin,C. A. R. Sá de Melo,16
Stephen A. Langer,James P. Sethna,113
P. J. Martin,D. M. Blankenship,35
P. J. Martin,T. J. Kvale,35
P. J. Martin,E. Redd,35
P. J. Martin,J. L. Peacher,35
P. J. Martin,J. T. Park,35
D. M. Blankenship,T. J. Kvale,35
D. M. Blankenship,E. Redd,35
D. M. Blankenship,J. L. Peacher,35
D. M. Blankenship,J. T. Park,35
T. J. Kvale,E. Redd,35
T. J. Kvale,J. L. Peacher,35
T. J. Kvale,J. T. Park,35
E. Redd,J. L. Peacher,35
E. Redd,J. T. Park,35
J. L. Peacher,J. T. Park,35
Florian Mintert,Benno Salwey,2
Florian Mintert,Andreas Buchleitner,2
Benno Salwey,Andreas Buchleitner,2
B. R. McQuarrie,T. A. Osborn,11
B. R. McQuarrie,G. C. Tabisz,11
T. A. Osborn,G. C. Tabisz,11
Marek Polasik,Maja Lewandowska-Robak,5
Sung Dahm Oh,James McEnnan,29
Sung Dahm Oh,R. H. Pratt,29
James McEnnan,R. H. Pratt,29
T. Vanderbruggen,S. Bernon,11
T. Vanderbruggen,A. Bertoldi,11
T. Vanderbruggen,A. Landragin,11
T. Vanderbruggen,P. Bouyer,11
S. Bernon,A. Bertoldi,11
S. Bernon,A. Landragin,11
S. Bernon,P. Bouyer,11
A. Bertoldi,A. Landragin,11
A. Bertoldi,P. Bouyer,11
A. Landragin,P. Bouyer,11
A. N. Chaba,R. K. Pathria,5
V. Roudnev,B. D. Esry,22
Zhong-yang Wang,Xun-li Feng,1
Zhong-yang Wang,Shang-qing Gong,1
Zhong-yang Wang,Zhi-zhan Xu,1
Xun-li Feng,Shang-qing Gong,1
Xun-li Feng,Zhi-zhan Xu,1
Shang-qing Gong,Zhi-zhan Xu,1
Mihai Macovei,Jörg Evers,14
Mihai Macovei,Christoph H. Keitel,14
Jörg Evers,Christoph H. Keitel,14
Kyoungdae Kim,Han Seb Moon,80
Kyoungdae Kim,Chunghee Lee,80
Kyoungdae Kim,Soo Kyoung Kim,80
Kyoungdae Kim,Jung Bog Kim,80
Han Seb Moon,Chunghee Lee,80
Han Seb Moon,Soo Kyoung Kim,80
Han Seb Moon,Jung Bog Kim,80
Chunghee Lee,Soo Kyoung Kim,80
Chunghee Lee,Jung Bog Kim,80
Soo Kyoung Kim,Jung Bog Kim,80
C. R. Garibotti,R. O. Barrachina,16
Werner Vogel,Jens Grabow,55
S. Ravi,G. S. Agarwal,2
Robert G. Harrison,Paul M. Ripley,33
Robert G. Harrison,Weiping Lu,33
Paul M. Ripley,Weiping Lu,33
R. Ronke,I. D?Amico,1
R. Ronke,T. P. Spiller,1
I. D?Amico,T. P. Spiller,1
V. C. Sutcliffe,G. N. Haddad,35
V. C. Sutcliffe,N. C. Steph,35
V. C. Sutcliffe,D. E. Golden,35
G. N. Haddad,N. C. Steph,35
G. N. Haddad,D. E. Golden,35
N. C. Steph,D. E. Golden,35
Yong-Fan Chen,Yu-Chen Liu,16
Yong-Fan Chen,Zen-Hsiang Tsai,16
Yong-Fan Chen,Shih-Hao Wang,16
Yong-Fan Chen,Ite A. Yu,16
Yu-Chen Liu,Zen-Hsiang Tsai,16
Yu-Chen Liu,Shih-Hao Wang,16
Yu-Chen Liu,Ite A. Yu,16
Zen-Hsiang Tsai,Shih-Hao Wang,16
Zen-Hsiang Tsai,Ite A. Yu,16
Shih-Hao Wang,Ite A. Yu,16
G. Raseev,H. Le Rouzo,25
Mauro Boero,Pietro Cortona,2
Gengbiao Lu,Wenhua Hai,8
Gengbiao Lu,Honghua Zhong,8
Gengbiao Lu,Qiongtao Xie,8
Wenhua Hai,Honghua Zhong,8
Wenhua Hai,Qiongtao Xie,8
Honghua Zhong,Qiongtao Xie,8
Jiangbin Gong,Qing-hai Wang,5
Dae M. Kim,Marlan O. Scully,7
Dae M. Kim,Willis E. Lamb,7
Dae M. Kim, Jr.,7
Marlan O. Scully,Willis E. Lamb,7
Marlan O. Scully, Jr.,7
Willis E. Lamb, Jr.,7
R. Kanamoto,L. D. Carr,1
R. Kanamoto,M. Ueda,1
L. D. Carr,M. Ueda,1
K. Rai Dastidar,S. Ganguly,8
K. Rai Dastidar,T. K. Rai Dastidar,8
S. Ganguly,T. K. Rai Dastidar,8
Umberto Balucani,Renzo Vallauri,21
M. Farizon,A. Clouvas,9
M. Farizon,N. V. de Castro Faria,9
M. Farizon,B. Farizon-Mazuy,9
M. Farizon,M. J. Gaillard,9
M. Farizon,E. Gerlic,9
M. Farizon,A. Denis,9
M. Farizon,J. Desesquelles,9
M. Farizon,Y. Ouerdane,9
A. Clouvas,N. V. de Castro Faria,9
A. Clouvas,B. Farizon-Mazuy,9
A. Clouvas,M. J. Gaillard,9
A. Clouvas,E. Gerlic,9
A. Clouvas,A. Denis,9
A. Clouvas,J. Desesquelles,9
A. Clouvas,Y. Ouerdane,9
N. V. de Castro Faria,B. Farizon-Mazuy,9
N. V. de Castro Faria,M. J. Gaillard,9
N. V. de Castro Faria,E. Gerlic,9
N. V. de Castro Faria,A. Denis,9
N. V. de Castro Faria,J. Desesquelles,9
N. V. de Castro Faria,Y. Ouerdane,9
B. Farizon-Mazuy,M. J. Gaillard,9
B. Farizon-Mazuy,E. Gerlic,9
B. Farizon-Mazuy,A. Denis,9
B. Farizon-Mazuy,J. Desesquelles,9
B. Farizon-Mazuy,Y. Ouerdane,9
M. J. Gaillard,E. Gerlic,9
M. J. Gaillard,A. Denis,9
M. J. Gaillard,J. Desesquelles,9
M. J. Gaillard,Y. Ouerdane,9
E. Gerlic,A. Denis,9
E. Gerlic,J. Desesquelles,9
E. Gerlic,Y. Ouerdane,9
A. Denis,J. Desesquelles,9
A. Denis,Y. Ouerdane,9
J. Desesquelles,Y. Ouerdane,9
M. Brune,J. M. Raimond,168
M. Brune,S. Haroche,168
J. M. Raimond,S. Haroche,168
W. Yi,L.-M. Duan,14
Nirmal K. Sarkar,Madhumita Basu,12
Nirmal K. Sarkar,A. S. Ghosh,12
Madhumita Basu,A. S. Ghosh,12
Roman M. Lutchyn,Enrico Rossi,18
Roman M. Lutchyn,S. Das Sarma,18
Enrico Rossi,S. Das Sarma,18
K. Singh,D. M. Tong,1
K. Singh,K. Basu,1
K. Singh,J. L. Chen,1
K. Singh,J. F. Du,1
D. M. Tong,K. Basu,1
D. M. Tong,J. L. Chen,1
D. M. Tong,J. F. Du,1
K. Basu,J. L. Chen,1
K. Basu,J. F. Du,1
J. L. Chen,J. F. Du,1
Claudine Goldbach,Gérard Nollez,9
Claudine Goldbach,Pierre Plomdeur,9
Claudine Goldbach,Jean-Paul Zimmermann,9
Gérard Nollez,Pierre Plomdeur,9
Gérard Nollez,Jean-Paul Zimmermann,9
Pierre Plomdeur,Jean-Paul Zimmermann,9
Dong Yang,Yi-Xin Chen,5
C. Y. Tang,J. R. Wood,15
C. Y. Tang,D. J. Pegg,15
C. Y. Tang,J. Dellwo,15
C. Y. Tang,G. D. Alton,15
J. R. Wood,D. J. Pegg,15
J. R. Wood,J. Dellwo,15
J. R. Wood,G. D. Alton,15
D. J. Pegg,J. Dellwo,15
D. J. Pegg,G. D. Alton,15
J. Dellwo,G. D. Alton,15
Y. Nishiyama,S. Kurita,2
X. C. Pan,U. Fano,4
William L. Clinton,Cristine M. Cosgrove,3
William L. Clinton,George A. Henderson,3
Cristine M. Cosgrove,George A. Henderson,3
T. Mohamed,D. Nikolic,17
T. Mohamed,E. Lindroth,17
T. Mohamed,S. Madzunkov,17
T. Mohamed,M. Fogle,17
T. Mohamed,M. Tokman,17
T. Mohamed,R. Schuch,17
D. Nikolic,E. Lindroth,17
D. Nikolic,S. Madzunkov,17
D. Nikolic,M. Fogle,17
D. Nikolic,M. Tokman,17
D. Nikolic,R. Schuch,17
E. Lindroth,S. Madzunkov,17
E. Lindroth,M. Fogle,17
E. Lindroth,M. Tokman,17
E. Lindroth,R. Schuch,17
S. Madzunkov,M. Fogle,17
S. Madzunkov,M. Tokman,17
S. Madzunkov,R. Schuch,17
M. Fogle,M. Tokman,17
M. Fogle,R. Schuch,17
M. Tokman,R. Schuch,17
L. B. Madsen,P. Lambropoulos,6
T. W. Gorczyca,F. Robicheaux,24
T. W. Gorczyca,M. S. Pindzola,24
T. W. Gorczyca,N. R. Badnell,24
F. Robicheaux,M. S. Pindzola,24
F. Robicheaux,N. R. Badnell,24
M. S. Pindzola,N. R. Badnell,24
A. Zujev,A. Baldwin,16
A. Zujev,R. T. Scalettar,16
A. Zujev,V. G. Rousseau,16
A. Zujev,P. J. H. Denteneer,16
A. Zujev,M. Rigol,16
A. Baldwin,R. T. Scalettar,16
A. Baldwin,V. G. Rousseau,16
A. Baldwin,P. J. H. Denteneer,16
A. Baldwin,M. Rigol,16
R. T. Scalettar,V. G. Rousseau,16
R. T. Scalettar,P. J. H. Denteneer,16
R. T. Scalettar,M. Rigol,16
V. G. Rousseau,P. J. H. Denteneer,16
V. G. Rousseau,M. Rigol,16
P. J. H. Denteneer,M. Rigol,16
Ivan V. Sokolov,Mikhail I. Kolobov,21
Ivan V. Sokolov,Luigi A. Lugiato,21
Mikhail I. Kolobov,Luigi A. Lugiato,21
Jaime Ramirez-Serrano,W. DeGraffenreid,3
Jaime Ramirez-Serrano,John Weiner,3
Jaime Ramirez-Serrano,Eite Tiesinga,3
Jaime Ramirez-Serrano,P. S. Julienne,3
W. DeGraffenreid,John Weiner,3
W. DeGraffenreid,Eite Tiesinga,3
W. DeGraffenreid,P. S. Julienne,3
John Weiner,Eite Tiesinga,3
John Weiner,P. S. Julienne,3
Eite Tiesinga,P. S. Julienne,3
Lih-King Lim,Achilleas Lazarides,8
Lih-King Lim,Andreas Hemmerich,8
Lih-King Lim,C. Morais Smith,8
Achilleas Lazarides,Andreas Hemmerich,8
Achilleas Lazarides,C. Morais Smith,8
Andreas Hemmerich,C. Morais Smith,8
Eduardo V. Ludea,Aníbal Sierraalta,17
T. Kuwamoto,K. Honda,68
T. Kuwamoto,Y. Takahashi,68
T. Kuwamoto,T. Yabuzaki,68
K. Honda,Y. Takahashi,68
K. Honda,T. Yabuzaki,68
Y. Takahashi,T. Yabuzaki,68
V. J. Foster,F. P. Keenan,6
V. J. Foster,R. H. G. Reid,6
F. P. Keenan,R. H. G. Reid,6
Eric Braaten,P. Hagen,6
Eric Braaten,H.-W. Hammer,6
Eric Braaten,L. Platter,6
P. Hagen,H.-W. Hammer,6
P. Hagen,L. Platter,6
H.-W. Hammer,L. Platter,6
V. Jonauskas,A. Prancikevicius,1
V. Jonauskas,?. Masys,1
V. Jonauskas,A. Kyniene,1
A. Prancikevicius,?. Masys,1
A. Prancikevicius,A. Kyniene,1
?. Masys,A. Kyniene,1
S. Pustelny,D. F. Jackson Kimball,18
S. Pustelny,S. M. Rochester,18
S. Pustelny,V. V. Yashchuk,18
S. Pustelny,W. Gawlik,18
S. Pustelny,D. Budker,18
D. F. Jackson Kimball,S. M. Rochester,18
D. F. Jackson Kimball,V. V. Yashchuk,18
D. F. Jackson Kimball,W. Gawlik,18
D. F. Jackson Kimball,D. Budker,18
S. M. Rochester,V. V. Yashchuk,18
S. M. Rochester,W. Gawlik,18
S. M. Rochester,D. Budker,18
V. V. Yashchuk,W. Gawlik,18
V. V. Yashchuk,D. Budker,18
W. Gawlik,D. Budker,18
R. C. Pennington,G. D?Alessandro,3
R. C. Pennington,J. J. Baumberg,3
R. C. Pennington,M. Kaczmarek,3
G. D?Alessandro,J. J. Baumberg,3
G. D?Alessandro,M. Kaczmarek,3
J. J. Baumberg,M. Kaczmarek,3
A. M. Sossah,H.-L. Zhou,5
A. M. Sossah,S. T. Manson,5
H.-L. Zhou,S. T. Manson,5
L. D. A. Siebbeles,E. R. Wouters,5
L. D. A. Siebbeles,W. J. van der Zande,5
E. R. Wouters,W. J. van der Zande,5
John A. Vaccaro,D. T. Pegg,15
Wei Feng,Peiyue Wang,7
Wei Feng,Xinmei Ding,7
Wei Feng,Luting Xu,7
Wei Feng,Xin-Qi Li,7
Peiyue Wang,Xinmei Ding,7
Peiyue Wang,Luting Xu,7
Peiyue Wang,Xin-Qi Li,7
Xinmei Ding,Luting Xu,7
Xinmei Ding,Xin-Qi Li,7
Luting Xu,Xin-Qi Li,7
G. P. Arrighini,F. Biondi,29
G. P. Arrighini,C. Guidotti,29
F. Biondi,C. Guidotti,29
Steven M. O?Malley,Donald R. Beck,7
Steven M. O?Malley,David P. Oros,7
Donald R. Beck,David P. Oros,7
M. A. Stevenson,B. Lohmann,13
E. Brunetti,R. Issac,8
E. Brunetti,D. A. Jaroszynski,8
R. Issac,D. A. Jaroszynski,8
D. Bauer,A. Macchi,24
P. C. Efthimion,S. P. Schlesinger,25
N. I. Farahat,Y. Güler,3
Surya N. Panigrahy,R. W. Dougherty,11
Surya N. Panigrahy,S. Ahmad,11
Surya N. Panigrahy,K. C. Mishra,11
Surya N. Panigrahy,T. P. Das,11
Surya N. Panigrahy,J. Andriessen,11
Surya N. Panigrahy,R. Neugart,11
Surya N. Panigrahy,E. W. Otten,11
Surya N. Panigrahy,K. Wendt,11
R. W. Dougherty,S. Ahmad,11
R. W. Dougherty,K. C. Mishra,11
R. W. Dougherty,T. P. Das,11
R. W. Dougherty,J. Andriessen,11
R. W. Dougherty,R. Neugart,11
R. W. Dougherty,E. W. Otten,11
R. W. Dougherty,K. Wendt,11
S. Ahmad,K. C. Mishra,11
S. Ahmad,T. P. Das,11
S. Ahmad,J. Andriessen,11
S. Ahmad,R. Neugart,11
S. Ahmad,E. W. Otten,11
S. Ahmad,K. Wendt,11
K. C. Mishra,T. P. Das,11
K. C. Mishra,J. Andriessen,11
K. C. Mishra,R. Neugart,11
K. C. Mishra,E. W. Otten,11
K. C. Mishra,K. Wendt,11
T. P. Das,J. Andriessen,11
T. P. Das,R. Neugart,11
T. P. Das,E. W. Otten,11
T. P. Das,K. Wendt,11
J. Andriessen,R. Neugart,11
J. Andriessen,E. W. Otten,11
J. Andriessen,K. Wendt,11
R. Neugart,E. W. Otten,11
R. Neugart,K. Wendt,11
E. W. Otten,K. Wendt,11
Y. Hikosaka,P. Lablanquie,8
Y. Hikosaka,F. Penent,8
Y. Hikosaka,P. Selles,8
Y. Hikosaka,T. Kaneyasu,8
Y. Hikosaka,E. Shigemasa,8
Y. Hikosaka,J. H. D. Eland,8
Y. Hikosaka,K. Ito,8
P. Lablanquie,F. Penent,8
P. Lablanquie,P. Selles,8
P. Lablanquie,T. Kaneyasu,8
P. Lablanquie,E. Shigemasa,8
P. Lablanquie,J. H. D. Eland,8
P. Lablanquie,K. Ito,8
F. Penent,P. Selles,8
F. Penent,T. Kaneyasu,8
F. Penent,E. Shigemasa,8
F. Penent,J. H. D. Eland,8
F. Penent,K. Ito,8
P. Selles,T. Kaneyasu,8
P. Selles,E. Shigemasa,8
P. Selles,J. H. D. Eland,8
P. Selles,K. Ito,8
T. Kaneyasu,E. Shigemasa,8
T. Kaneyasu,J. H. D. Eland,8
T. Kaneyasu,K. Ito,8
E. Shigemasa,J. H. D. Eland,8
E. Shigemasa,K. Ito,8
J. H. D. Eland,K. Ito,8
Davide Proment,Sergey Nazarenko,20
Davide Proment,Miguel Onorato,20
Sergey Nazarenko,Miguel Onorato,20
F. Kh. Abdullaev,A. Gammal,20
F. Kh. Abdullaev,H. L. F. da Luz,20
F. Kh. Abdullaev,Lauro Tomio,20
A. Gammal,H. L. F. da Luz,20
A. Gammal,Lauro Tomio,20
H. L. F. da Luz,Lauro Tomio,20
E. Malatsetxebarria,F. M. Marchetti,1
E. Malatsetxebarria,M. A. Cazalilla,1
F. M. Marchetti,M. A. Cazalilla,1
H. Cho,S. H. Lee,8
Feng Shuang,Mianlai Zhou,9
Feng Shuang,Alexander Pechen,9
Feng Shuang,Rebing Wu,9
Feng Shuang,Ofer M. Shir,9
Feng Shuang,Herschel Rabitz,9
Mianlai Zhou,Alexander Pechen,9
Mianlai Zhou,Rebing Wu,9
Mianlai Zhou,Ofer M. Shir,9
Mianlai Zhou,Herschel Rabitz,9
Alexander Pechen,Rebing Wu,9
Alexander Pechen,Ofer M. Shir,9
Alexander Pechen,Herschel Rabitz,9
Rebing Wu,Ofer M. Shir,9
Rebing Wu,Herschel Rabitz,9
Ofer M. Shir,Herschel Rabitz,9
G. S. Agarwal,Robert W. Boyd,14
Z. Ficek,H. S. Freedhoff,48
Yan Gu,Jian-Min Yuan,40
Th. Rasing,H. Hsiung,20
Th. Rasing,Y. R. Shen,20
Th. Rasing,M. W. Kim,20
H. Hsiung,Y. R. Shen,20
H. Hsiung,M. W. Kim,20
Y. R. Shen,M. W. Kim,20
Gene Lamm,Attila Szabo,13
Gene Lamm,S. A. Adelman,13
Attila Szabo,S. A. Adelman,13
B. Rohwedder,L. Davidovich,7
B. Rohwedder,N. Zagury,7
L. Davidovich,N. Zagury,7
P. P. Corso,L. Lo Cascio,18
P. P. Corso,F. Persico,18
L. Lo Cascio,F. Persico,18
U. Thumm,A. Bárány,18
U. Thumm,H. Cederquist,18
U. Thumm,L. Hägg,18
U. Thumm,C. J. Setterlind,18
A. Bárány,H. Cederquist,18
A. Bárány,L. Hägg,18
A. Bárány,C. J. Setterlind,18
H. Cederquist,L. Hägg,18
H. Cederquist,C. J. Setterlind,18
L. Hägg,C. J. Setterlind,18
P. Dahl,T. Andersen,4
P. Dahl,L. Jo/dal,4
P. Dahl,N. J. Kylstra,4
P. Dahl,J. E. Hansen,4
P. Dahl,N. Vaeck,4
T. Andersen,L. Jo/dal,4
T. Andersen,N. J. Kylstra,4
T. Andersen,J. E. Hansen,4
T. Andersen,N. Vaeck,4
L. Jo/dal,N. J. Kylstra,4
L. Jo/dal,J. E. Hansen,4
L. Jo/dal,N. Vaeck,4
N. J. Kylstra,J. E. Hansen,4
N. J. Kylstra,N. Vaeck,4
J. E. Hansen,N. Vaeck,4
J. P. Apruzese,G. Mehlman,21
J. P. Apruzese,J. Davis,21
J. P. Apruzese,J. E. Rogerson,21
J. P. Apruzese,V. E. Scherrer,21
J. P. Apruzese,S. J. Stephanakis,21
J. P. Apruzese,P. F. Ottinger,21
J. P. Apruzese,F. C. Young,21
G. Mehlman,J. Davis,21
G. Mehlman,J. E. Rogerson,21
G. Mehlman,V. E. Scherrer,21
G. Mehlman,S. J. Stephanakis,21
G. Mehlman,P. F. Ottinger,21
G. Mehlman,F. C. Young,21
J. Davis,J. E. Rogerson,21
J. Davis,V. E. Scherrer,21
J. Davis,S. J. Stephanakis,21
J. Davis,P. F. Ottinger,21
J. Davis,F. C. Young,21
J. E. Rogerson,V. E. Scherrer,21
J. E. Rogerson,S. J. Stephanakis,21
J. E. Rogerson,P. F. Ottinger,21
J. E. Rogerson,F. C. Young,21
V. E. Scherrer,S. J. Stephanakis,21
V. E. Scherrer,P. F. Ottinger,21
V. E. Scherrer,F. C. Young,21
S. J. Stephanakis,P. F. Ottinger,21
S. J. Stephanakis,F. C. Young,21
P. F. Ottinger,F. C. Young,21
Jing-Ling Chen,Dong-Ling Deng,7
P. Westphal,S. Koch,3
P. Westphal,A. Horn,3
P. Westphal,J. Schmand,3
P. Westphal,H. J. Andrä,3
S. Koch,A. Horn,3
S. Koch,J. Schmand,3
S. Koch,H. J. Andrä,3
A. Horn,J. Schmand,3
A. Horn,H. J. Andrä,3
