Author1,Author2,Shared Citations
C. Blancard,G. Faussurier,6
C. Blancard,J.-M. Bizau,6
C. Blancard,D. Cubaynes,6
C. Blancard,N. El Hassan,6
C. Blancard,S. Guilbaud,6
C. Blancard,M. M. Al Shorman,6
C. Blancard,E. Robert,6
C. Blancard,X.-J. Liu,6
C. Blancard,C. Nicolas,6
C. Blancard,C. Miron,6
Ph. Cossé,G. Faussurier,6
Ph. Cossé,J.-M. Bizau,6
Ph. Cossé,D. Cubaynes,6
Ph. Cossé,N. El Hassan,6
Ph. Cossé,S. Guilbaud,6
Ph. Cossé,M. M. Al Shorman,6
Ph. Cossé,E. Robert,6
Ph. Cossé,X.-J. Liu,6
Ph. Cossé,C. Nicolas,6
Ph. Cossé,C. Miron,6
G. Faussurier,J.-M. Bizau,6
G. Faussurier,D. Cubaynes,6
G. Faussurier,N. El Hassan,6
G. Faussurier,S. Guilbaud,6
G. Faussurier,M. M. Al Shorman,6
G. Faussurier,E. Robert,6
G. Faussurier,X.-J. Liu,6
G. Faussurier,C. Nicolas,6
G. Faussurier,C. Miron,6
J.-M. Bizau,D. Cubaynes,6
J.-M. Bizau,N. El Hassan,6
J.-M. Bizau,S. Guilbaud,6
J.-M. Bizau,M. M. Al Shorman,6
J.-M. Bizau,E. Robert,6
J.-M. Bizau,X.-J. Liu,6
J.-M. Bizau,C. Nicolas,6
J.-M. Bizau,C. Miron,6
D. Cubaynes,N. El Hassan,6
D. Cubaynes,S. Guilbaud,6
D. Cubaynes,M. M. Al Shorman,6
D. Cubaynes,E. Robert,6
D. Cubaynes,X.-J. Liu,6
D. Cubaynes,C. Nicolas,6
D. Cubaynes,C. Miron,6
N. El Hassan,S. Guilbaud,6
N. El Hassan,M. M. Al Shorman,6
N. El Hassan,E. Robert,6
N. El Hassan,X.-J. Liu,6
N. El Hassan,C. Nicolas,6
N. El Hassan,C. Miron,6
S. Guilbaud,M. M. Al Shorman,6
S. Guilbaud,E. Robert,6
S. Guilbaud,X.-J. Liu,6
S. Guilbaud,C. Nicolas,6
S. Guilbaud,C. Miron,6
M. M. Al Shorman,E. Robert,6
M. M. Al Shorman,X.-J. Liu,6
M. M. Al Shorman,C. Nicolas,6
M. M. Al Shorman,C. Miron,6
E. Robert,X.-J. Liu,6
E. Robert,C. Nicolas,6
E. Robert,C. Miron,6
X.-J. Liu,C. Nicolas,6
X.-J. Liu,C. Miron,6
C. Nicolas,C. Miron,6
M. C. Richardson,R. Epstein,6
M. C. Richardson,O. Barnouin,6
M. C. Richardson,P. A. Jaanimagi,6
M. C. Richardson,R. Keck,6
M. C. Richardson,H. G. Kim,6
M. C. Richardson,R. S. Marjoribanks,6
M. C. Richardson,S. Noyes,6
M. C. Richardson,J. M. Soures,6
M. C. Richardson,B. Yaakobi,6
R. Epstein,O. Barnouin,6
R. Epstein,P. A. Jaanimagi,6
R. Epstein,R. Keck,6
R. Epstein,H. G. Kim,6
R. Epstein,R. S. Marjoribanks,6
R. Epstein,S. Noyes,6
R. Epstein,J. M. Soures,6
R. Epstein,B. Yaakobi,6
O. Barnouin,P. A. Jaanimagi,6
O. Barnouin,R. Keck,6
O. Barnouin,H. G. Kim,6
O. Barnouin,R. S. Marjoribanks,6
O. Barnouin,S. Noyes,6
O. Barnouin,J. M. Soures,6
O. Barnouin,B. Yaakobi,6
P. A. Jaanimagi,R. Keck,6
P. A. Jaanimagi,H. G. Kim,6
P. A. Jaanimagi,R. S. Marjoribanks,6
P. A. Jaanimagi,S. Noyes,6
P. A. Jaanimagi,J. M. Soures,6
P. A. Jaanimagi,B. Yaakobi,6
R. Keck,H. G. Kim,6
R. Keck,R. S. Marjoribanks,6
R. Keck,S. Noyes,6
R. Keck,J. M. Soures,6
R. Keck,B. Yaakobi,6
H. G. Kim,R. S. Marjoribanks,6
H. G. Kim,S. Noyes,6
H. G. Kim,J. M. Soures,6
H. G. Kim,B. Yaakobi,6
R. S. Marjoribanks,S. Noyes,6
R. S. Marjoribanks,J. M. Soures,6
R. S. Marjoribanks,B. Yaakobi,6
S. Noyes,J. M. Soures,6
S. Noyes,B. Yaakobi,6
J. M. Soures,B. Yaakobi,6
G. Alber,J. Cooper,1
A. R. P. Lima,A. Pelster,13
Sona Prakash,Chung-Kang Peng,14
Sona Prakash,Preben Alstro/m,14
Chung-Kang Peng,Preben Alstro/m,14
H. T. Ng,Shih-I Chu,4
Tetsuhiko Takahashi,Jian-zhi Ruan(Gen),4
Tetsuhiko Takahashi,Shinzou Kubota,4
Tetsuhiko Takahashi,Fumio Shiraishi,4
Jian-zhi Ruan(Gen),Shinzou Kubota,4
Jian-zhi Ruan(Gen),Fumio Shiraishi,4
Shinzou Kubota,Fumio Shiraishi,4
E. S. Macias,M. R. Zalutsky,22
J. R. Williams,J. H. Huckans,3
J. R. Williams,R. W. Stites,3
J. R. Williams,E. L. Hazlett,3
J. R. Williams,K. M. O?Hara,3
J. H. Huckans,R. W. Stites,3
J. H. Huckans,E. L. Hazlett,3
J. H. Huckans,K. M. O?Hara,3
R. W. Stites,E. L. Hazlett,3
R. W. Stites,K. M. O?Hara,3
E. L. Hazlett,K. M. O?Hara,3
Patrick Navez,Nicolas J. Cerf,37
P. Lavallard,M. Rosenbauer,24
P. Lavallard,T. Gacoin,24
M. Rosenbauer,T. Gacoin,24
Carmen Cisneros,Ignacio Alvarez,9
Carmen Cisneros,C. F. Barnett,9
Carmen Cisneros,J. A. Ray,9
Ignacio Alvarez,C. F. Barnett,9
Ignacio Alvarez,J. A. Ray,9
C. F. Barnett,J. A. Ray,9
Dave Bacon,Steven T. Flammia,9
F. Negro,A. Tartaglia,16
William M. Visscher,M. Rich,23
Benjamin J. Sussman,Misha Yu. Ivanov,33
Benjamin J. Sussman,Albert Stolow,33
Misha Yu. Ivanov,Albert Stolow,33
C. Schön,J. I. Cirac,5
Massoud Borhani,Daniel Loss,51
G. S. Agarwal,S. L. Haan,59
G. S. Agarwal,J. Cooper,59
S. L. Haan,J. Cooper,59
K. R. Sreenivasan,C. Meneveau,73
Yong-qing Li,Min Xiao,87
M. J. Zarcone,Q. C. Kessel,7
Brianna J. Mount,Matthew Redshaw,4
Brianna J. Mount,Edmund G. Myers,4
Matthew Redshaw,Edmund G. Myers,4
Minping Qian,Guanglu Gong,5
Minping Qian,John W. Clark,5
Guanglu Gong,John W. Clark,5
Madalina Boca,Viorica Florescu,3
H. M. Wiseman,Zoe Brady,8
Xizhou Qin (???),Yongguan Ke (???),1
Xizhou Qin (???),Xiwen Guan (???),1
Xizhou Qin (???),Zhibing Li (???),1
Xizhou Qin (???),Natan Andrei,1
Xizhou Qin (???),Chaohong Lee (???),1
Yongguan Ke (???),Xiwen Guan (???),1
Yongguan Ke (???),Zhibing Li (???),1
Yongguan Ke (???),Natan Andrei,1
Yongguan Ke (???),Chaohong Lee (???),1
Xiwen Guan (???),Zhibing Li (???),1
Xiwen Guan (???),Natan Andrei,1
Xiwen Guan (???),Chaohong Lee (???),1
Zhibing Li (???),Natan Andrei,1
Zhibing Li (???),Chaohong Lee (???),1
Natan Andrei,Chaohong Lee (???),1
Carl Winstead,Vincent McKoy,62
A. S. Parkins,C. W. Gardiner,75
H. Merabet,M. Bailey,13
H. Merabet,R. Bruch,13
H. Merabet,D. V. Fursa,13
H. Merabet,I. Bray,13
H. Merabet,J. W. McConkey,13
H. Merabet,P. Hammond,13
M. Bailey,R. Bruch,13
M. Bailey,D. V. Fursa,13
M. Bailey,I. Bray,13
M. Bailey,J. W. McConkey,13
M. Bailey,P. Hammond,13
R. Bruch,D. V. Fursa,13
R. Bruch,I. Bray,13
R. Bruch,J. W. McConkey,13
R. Bruch,P. Hammond,13
D. V. Fursa,I. Bray,13
D. V. Fursa,J. W. McConkey,13
D. V. Fursa,P. Hammond,13
I. Bray,J. W. McConkey,13
I. Bray,P. Hammond,13
J. W. McConkey,P. Hammond,13
Jun-ichi Yoshikawa,Yoshichika Miwa,7
Jun-ichi Yoshikawa,Radim Filip,7
Jun-ichi Yoshikawa,Akira Furusawa,7
Yoshichika Miwa,Radim Filip,7
Yoshichika Miwa,Akira Furusawa,7
Radim Filip,Akira Furusawa,7
Javier Madroñero,Bernard Piraux,8
H. L. F. da Luz,F. Kh. Abdullaev,8
H. L. F. da Luz,A. Gammal,8
H. L. F. da Luz,M. Salerno,8
H. L. F. da Luz,Lauro Tomio,8
F. Kh. Abdullaev,A. Gammal,8
F. Kh. Abdullaev,M. Salerno,8
F. Kh. Abdullaev,Lauro Tomio,8
A. Gammal,M. Salerno,8
A. Gammal,Lauro Tomio,8
M. Salerno,Lauro Tomio,8
Philippe Antoine,Bernard Piraux,156
Philippe Antoine,Alfred Maquet,156
Bernard Piraux,Alfred Maquet,156
Diego de Falco,Dario Tamascelli,1
S. -C. Gou,J. Steinbach,90
S. -C. Gou,P. L. Knight,90
J. Steinbach,P. L. Knight,90
J. A. M. Huhtamäki,M. Takahashi,14
J. A. M. Huhtamäki,T. P. Simula,14
J. A. M. Huhtamäki,T. Mizushima,14
J. A. M. Huhtamäki,K. Machida,14
M. Takahashi,T. P. Simula,14
M. Takahashi,T. Mizushima,14
M. Takahashi,K. Machida,14
T. P. Simula,T. Mizushima,14
T. P. Simula,K. Machida,14
T. Mizushima,K. Machida,14
R. Sawatzki,L. S. Cederbaum,6
R. Rossignoli,N. Canosa,15
V. Gedeon,V. Lengyel,11
V. Gedeon,O. Zatsarinny,11
V. Gedeon,C. A. Kocher,11
V. Lengyel,O. Zatsarinny,11
V. Lengyel,C. A. Kocher,11
O. Zatsarinny,C. A. Kocher,11
Nicola Bulso,Claudio Conti,1
Doron Cohen,Shmuel Fishman,19
M. P. van Exter,A. K. Jansen van Doorn,50
M. P. van Exter,J. P. Woerdman,50
A. K. Jansen van Doorn,J. P. Woerdman,50
A. N. Grum-Grzhimailo,E. V. Gryzlova,1
A. E. Deane,E. Knobloch,26
A. E. Deane,J. Toomre,26
E. Knobloch,J. Toomre,26
K. R. Hoffman,M. S. Dababneh,219
K. R. Hoffman,Y.-F. Hsieh,219
K. R. Hoffman,W. E. Kauppila,219
K. R. Hoffman,V. Pol,219
K. R. Hoffman,J. H. Smart,219
K. R. Hoffman,T. S. Stein,219
M. S. Dababneh,Y.-F. Hsieh,219
M. S. Dababneh,W. E. Kauppila,219
M. S. Dababneh,V. Pol,219
M. S. Dababneh,J. H. Smart,219
M. S. Dababneh,T. S. Stein,219
Y.-F. Hsieh,W. E. Kauppila,219
Y.-F. Hsieh,V. Pol,219
Y.-F. Hsieh,J. H. Smart,219
